platform,video_id,author,title,content,publish_time,view_count,like_count,coin_count,favorite_count,danmaku_count,comment_count,crawl_time
B站,bili_1772227448_5703,神奇当行在哪里,沉浸式云游上海迪士尼，看完又赚602.41块！,沉浸式云游上海迪士尼，看完又赚602.41块！,NULL,98万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_8588,狗桑和丹酱,上海迪士尼全园区游览，全项目介绍，看完这条攻略，上迪横着走,上海迪士尼全园区游览，全项目介绍，看完这条攻略，上迪横着走,NULL,10.4万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_5637,上迪美好一刻,给上海迪士尼10周年打样？香港迪士尼20周年深度体验报告,给上海迪士尼10周年打样？香港迪士尼20周年深度体验报告,NULL,1.3万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_4072,小满潜水艇,没钱去迪士尼好玩吗？迪士尼穷鬼版｜上海vlog,没钱去迪士尼好玩吗？迪士尼穷鬼版｜上海vlog,NULL,31.2万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_2415,不正经游客,上海迪士尼花车巡游-高清音质全程版（瞬间带回迪士尼,上海迪士尼花车巡游-高清音质全程版（瞬间带回迪士尼,NULL,33.3万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_7806,CY曹雨,上海迪士尼 - 全程初体验,上海迪士尼 - 全程初体验,NULL,18.4万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_6741,大脸猫多多酱,原来一个人去迪士尼这么爽！上海迪士尼攻略~上海VLOG#01,原来一个人去迪士尼这么爽！上海迪士尼攻略~上海VLOG#01,NULL,3.3万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_6830,伍久九,【4K60帧】第一视角｜上海迪士尼-创极速光轮,【4K60帧】第一视角｜上海迪士尼-创极速光轮,NULL,47.1万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_4418,潼潼啊哈,潼潼的上海迪士尼疯狂动物城一日vlog,潼潼的上海迪士尼疯狂动物城一日vlog,NULL,171.3万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_7914,刘必胜Lexi,现在的上海迪士尼不氪金可能毫无体验感，别抱着省钱的心态去！,现在的上海迪士尼不氪金可能毫无体验感，别抱着省钱的心态去！,NULL,240.5万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_2544,吃饭高手Joo,在上海迪士尼的15小时都干了啥？？挑战全网最满迪士尼行程！路线/美食/项目第一视角分享合集,在上海迪士尼的15小时都干了啥？？挑战全网最满迪士尼行程！路线/美食/项目第一视角分享合集,NULL,14.1万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_9257,小七的奇妙之旅,带宅男老公第一次玩上海迪士尼，是一种怎样的体验？狂炫四家园区餐厅，哪个项目体验最好？,带宅男老公第一次玩上海迪士尼，是一种怎样的体验？狂炫四家园区餐厅，哪个项目体验最好？,NULL,1351,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_3611,dondongwang,【上海迪士尼】 “10岁生日庆典”特别预告大片 2026,【上海迪士尼】 “10岁生日庆典”特别预告大片 2026,NULL,2434,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_6089,鰐の宇宙WANIVerse,尊享卡优先通道玩转上海迪士尼，10年后再访，还是那个奇妙快乐的应许之地吗？feat. 疯狂动物城｜春节限定烟花「4K杜比」马年春节VLOG·第五集,尊享卡优先通道玩转上海迪士尼，10年后再访，还是那个奇妙快乐的应许之地吗？feat. 疯狂动物城｜春节限定烟花「4K杜比」马年春节VLOG·第五集,NULL,2395,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_3337,02A01西瓜-202号车,【Z1939】（2026.02.25）上海迪士尼林间剧场表演《冰雪奇缘·欢唱盛会（18:00场）》,【Z1939】（2026.02.25）上海迪士尼林间剧场表演《冰雪奇缘·欢唱盛会（18:00场）》,NULL,229,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_5063,中上迪生活日记,202602﹣上海迪士尼：新春庆典： 属于你的家（疯狂动物城视角）,202602﹣上海迪士尼：新春庆典： 属于你的家（疯狂动物城视角）,NULL,25,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_6290,油管精選頻道,日本博主Osada：迪士尼处男勇闯上海迪士尼！【中国上海2日目】,日本博主Osada：迪士尼处男勇闯上海迪士尼！【中国上海2日目】,NULL,98.4万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_8659,chen陳小小迪,上海迪士尼度假区2016年开幕仪式,上海迪士尼度假区2016年开幕仪式,NULL,2.6万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_1609,白健川的日记,不快通不早起，上迪怒刷14个项目，多玩少排队的秘诀是？,不快通不早起，上迪怒刷14个项目，多玩少排队的秘诀是？,NULL,7万,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
B站,bili_1772227448_1308,02A01西瓜-202号车,【Z1935】（2026.02.25）上海迪士尼凡迭戈剧院表演《风暴来临～杰克船长之惊天特技大冒险（下）（11:50场）》,【Z1935】（2026.02.25）上海迪士尼凡迭戈剧院表演《风暴来临～杰克船长之惊天特技大冒险（下）（11:50场）》,NULL,88,NULL,NULL,NULL,NULL,NULL,2026-02-28 05:24:08
