platform,post_id,post_title,post_author,comment_id,comment_author,comment_content,comment_like_count,comment_time,crawl_time
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_0,NULL,电话：9501-3888,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_1,NULL,沪ICP备13030189号 | 营业执照 | 2024沪公网安备31010102002533号 | 增值电信业务经营许可证：沪B2-20150021 | 医疗器械网络交易服务第三方平台备案：(沪)网械平台备字[2019]第00006号 | 互联网药品信息服务资格证书：(沪)-经营性-2023-0144 | 违法不良信息举报电话：4006676810 | 上海市互联网举报中心 | 网上有害信息举报专区 | 自营经营者信息 | 网络文化经营许可证：沪网文(2024)1344-086号 | 个性化推荐算法 网信算备310101216601302230019号,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_2,NULL,电话：9501-3888,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_3,NULL,电话：9501-3888,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_4,NULL,沪ICP备13030189号 | 营业执照 | 2024沪公网安备31010102002533号 | 增值电信业务经营许可证：沪B2-20150021 | 医疗器械网络交易服务第三方平台备案：(沪)网械平台备字[2019]第00006号 | 互联网药品信息服务资格证书：(沪)-经营性-2023-0144 | 违法不良信息举报电话：4006676810 | 上海市互联网举报中心 | 网上有害信息举报专区 | 自营经营者信息 | 网络文化经营许可证：沪网文(2024)1344-086号 | 个性化推荐算法 网信算备310101216601302230019号,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_5,NULL,健身,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_6,NULL,健身,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_7,NULL,健身,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_8,NULL,319,NULL,NULL,2026-02-28 05:57:45
小红书,699fa984000000002602cd47,🇭🇰VLOG. 香港法务实习👩‍💻llm牛马复工日,啾啾,xhs_cmt_699fa984000000002602cd47_9,NULL,319,NULL,NULL,2026-02-28 05:57:45
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_0,NULL,电话：9501-3888,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_1,NULL,沪ICP备13030189号 | 营业执照 | 2024沪公网安备31010102002533号 | 增值电信业务经营许可证：沪B2-20150021 | 医疗器械网络交易服务第三方平台备案：(沪)网械平台备字[2019]第00006号 | 互联网药品信息服务资格证书：(沪)-经营性-2023-0144 | 违法不良信息举报电话：4006676810 | 上海市互联网举报中心 | 网上有害信息举报专区 | 自营经营者信息 | 网络文化经营许可证：沪网文(2024)1344-086号 | 个性化推荐算法 网信算备310101216601302230019号,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_2,NULL,电话：9501-3888,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_3,NULL,电话：9501-3888,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_4,NULL,沪ICP备13030189号 | 营业执照 | 2024沪公网安备31010102002533号 | 增值电信业务经营许可证：沪B2-20150021 | 医疗器械网络交易服务第三方平台备案：(沪)网械平台备字[2019]第00006号 | 互联网药品信息服务资格证书：(沪)-经营性-2023-0144 | 违法不良信息举报电话：4006676810 | 上海市互联网举报中心 | 网上有害信息举报专区 | 自营经营者信息 | 网络文化经营许可证：沪网文(2024)1344-086号 | 个性化推荐算法 网信算备310101216601302230019号,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_5,NULL,健身,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_6,NULL,健身,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_7,NULL,健身,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_8,NULL,398,NULL,NULL,2026-02-28 05:58:06
小红书,68177e90000000002001fd3e,当我用人民币来感受香港🇭🇰的物价！！！！！,小陈MVP,xhs_cmt_68177e90000000002001fd3e_9,NULL,398,NULL,NULL,2026-02-28 05:58:06
